protocol,packet_size,step_size,num_clients,pdr,throughput,average_delay,first_transmitted_packet_delay,global_first_packet_delay
HWMPHybridNearRoot,1024,50,2,89.52,183336.96,37.641865640639,1020.18353,1020.18353
HWMPHybridFarRoot,1024,50,2,78.27,160296.96,46.673156912738,36.712498,36.712498
FLAME,1024,50,2,76.435,156538.88,124.50126957212,24.183285,15.148852
HWMPProActive,1024,50,3,59.1266666666667,181637.12,30.5863437199797,128.252177,128.252177
HWMPHybridNearRoot,1024,50,3,32.69,100423.68,5.43942213072295,34.65388,34.65388
HWMPHybridFarRoot,1024,50,3,32.08,98549.76,8.95244025477972,40.08236,40.08236
FLAME,1024,50,3,70.64,217006.08,125.749727405908,14.475789,14.475789
HWMPProActive,1024,75,1,97.62,99962.88,5.78183928938742,2010.387471,2010.387471
HWMPHybridNearRoot,1024,75,1,99.73,102123.52,4.66168171914168,75.199309,75.199309
HWMPHybridFarRoot,1024,75,1,95.3,97587.2,4.98403379611752,2022.993353,2022.993353
FLAME,1024,75,1,10.13,10373.12,6.6060149733465,507.130633,507.130633
HWMPProActive,1024,75,2,95.41,195399.68,126.838461640027,1011.231221,119.665648
HWMPHybridNearRoot,1024,75,2,49.79,101969.92,3.77405363707572,34.62825,34.62825
HWMPHybridFarRoot,1024,75,2,92.89,190238.72,160.474554553343,2016.279,2016.279
FLAME,1024,75,2,57.665,118097.92,108.691245982485,1011.000209,1011.000209
HWMPProActive,1024,75,3,29.3033333333333,90019.84,794.661124462291,361.783125,188.218312
HWMPHybridNearRoot,1024,75,3,63.8966666666667,196290.56,650.969299741353,94.690216,82.930098
HWMPHybridFarRoot,1024,75,3,0,0,0,94.690216,0
FLAME,1024,75,3,53.4633333333333,164239.36,517.00434965428,39.833003,39.833003
HWMPProActive,1024,100,1,0.57,583.68,611.609526491228,774.975408,774.975408
HWMPHybridNearRoot,1024,100,1,0,0,0,774.975408,0
HWMPHybridFarRoot,1024,100,1,0.62,634.88,485.306019790323,457.169186,457.169186
FLAME,1024,100,1,6.23,6379.52,676.033542261637,192.415319,192.415319
HWMPProActive,1024,100,2,0,0,0,192.415319,0
HWMPHybridNearRoot,1024,100,2,0,0,0,192.415319,0
HWMPHybridFarRoot,1024,100,2,1.915,3921.92,824.306856342037,590.891512,590.891512
FLAME,1024,100,2,0,0,0,590.891512,0
HWMPProActive,1024,100,3,0,0,0,590.891512,0
HWMPHybridNearRoot,1024,100,3,0,0,0,590.891512,0
HWMPHybridFarRoot,1024,100,3,2.64333333333333,8120.32,659.073056828499,350.824273,97.108463
FLAME,1024,100,3,0,0,0,350.824273,0
HWMPProActive,1536,25,1,100,153600,1.2134547706,12.937232,12.937232
HWMPHybridNearRoot,1536,25,1,100,153600,1.2211740823,7.486809,7.486809
HWMPHybridFarRoot,1536,25,1,99.98,153569.28,1.67096700980196,7.486809,7.486809
FLAME,1536,25,1,99.02,152094.72,1.5312996735003,1003.224346,1003.224346
HWMPProActive,1536,25,2,99.92,306954.24,5.1444936616293,6.452836,6.452836
HWMPHybridNearRoot,1536,25,2,99.51,305694.72,5.33406564455834,7.407676,7.407676
HWMPHybridFarRoot,1536,25,2,99.5,305664,9.42005198356784,4.983731,4.983731
FLAME,1536,25,2,99.505,305679.36,5.88717519526657,11.438173,11.438173
HWMPProActive,1536,25,3,96.9133333333333,446576.64,34.1031081060054,2017.451233,6.452836
HWMPHybridNearRoot,1536,25,3,99.6666666666667,459264,8.42911624946488,14.82026,7.407676
HWMPHybridFarRoot,1536,25,3,96.29,443704.32,45.3552842003669,18.904244,4.983731
FLAME,1536,25,3,99.1166666666667,456729.6,12.3809941727594,6.722885,6.722885
HWMPProActive,1536,50,1,85.52,131358.72,19.8169158808466,72.298997,72.298997
HWMPHybridNearRoot,1536,50,1,93.13,143047.68,15.6984611246644,5.970325,5.970325
HWMPHybridFarRoot,1536,50,1,79.34,121866.24,35.3645196206201,173.479309,173.479309
FLAME,1536,50,1,45.35,69657.6,152.181503205733,19.228852,19.228852
HWMPProActive,1536,50,2,39.62,121712.64,25.444071388314,3035.840565,3035.840565
HWMPHybridNearRoot,1536,50,2,45.82,140759.04,17.5968438884766,1023.736467,1023.736467
HWMPHybridFarRoot,1536,50,2,74.485,228817.92,53.9207856815466,39.843412,39.843412
FLAME,1536,50,2,60.765,186670.08,75.7464021005513,19.228852,19.228852
HWMPProActive,1536,50,3,59.98,276387.84,34.9288837613093,129.612177,129.612177
HWMPHybridNearRoot,1536,50,3,61.3633333333333,282762.24,27.8710143881254,37.292341,37.292341
HWMPHybridFarRoot,1536,50,3,57.8,266342.4,47.8723427178201,41.44236,41.44236
FLAME,1536,50,3,53.62,247080.96,91.3415084296283,19.923788,19.923788
HWMPProActive,1536,75,1,97.76,150159.36,7.83967876196809,2013.787471,2013.787471
HWMPHybridNearRoot,1536,75,1,99.75,153216,7.99714448531328,110.134,110.134
HWMPHybridFarRoot,1536,75,1,93.46,143554.56,111.103688613418,2029.127,2029.127
FLAME,1536,75,1,35.12,53944.32,56.321680386959,509.969633,509.969633
HWMPProActive,1536,75,2,51.215,157332.48,866.414559529142,1013.342942,126.899766
HWMPHybridNearRoot,1536,75,2,49.94,153415.68,5.23994252703244,56.144671,56.144671
HWMPHybridFarRoot,1536,75,2,48.89,150190.08,49.5970372189609,2020.007,2020.007
FLAME,1536,75,2,35.87,110192.64,469.686683385001,503.007017,503.007017
HWMPProActive,1536,75,3,32.7933333333333,151111.68,897.053728970014,323.505312,323.505312
HWMPHybridNearRoot,1536,75,3,35.3133333333333,162723.84,870.536529799981,236.631214,82.758047
HWMPHybridFarRoot,1536,75,3,0,0,0,236.631214,0
FLAME,1536,75,3,38.0666666666667,175411.2,493.360803881961,45.541899,19.583928
HWMPProActive,1536,100,1,0.03,46.08,538.978865,846.113972,846.113972
HWMPHybridNearRoot,1536,100,1,0,0,0,846.113972,0
HWMPHybridFarRoot,1536,100,1,0.04,61.44,950.222516,587.056038,587.056038
FLAME,1536,100,1,0.45,691.2,630.3041122,368.608201,368.608201
HWMPProActive,1536,100,2,0,0,0,368.608201,0
HWMPHybridNearRoot,1536,100,2,0,0,0,368.608201,0
HWMPHybridFarRoot,1536,100,2,0.22,675.84,804.925811772727,599.915656,599.915656
FLAME,1536,100,2,0,0,0,599.915656,0
HWMPProActive,1536,100,3,0,0,0,599.915656,0
HWMPHybridNearRoot,1536,100,3,0,0,0,599.915656,0
HWMPHybridFarRoot,1536,100,3,0.173333333333333,798.72,517.252089211538,322.40409,322.40409
FLAME,1536,100,3,0,0,0,322.40409,0
HWMPProActive,2048,25,1,100,204800,1.5858627362,14.989232,14.989232
HWMPHybridNearRoot,2048,25,1,100,204800,1.5973661075,8.170809,8.170809
HWMPHybridFarRoot,2048,25,1,98.98,202711.04,1.93782812982421,8.170809,8.170809
FLAME,2048,25,1,99.02,202792.96,1.91564640547364,1003.908346,1003.908346
HWMPProActive,2048,25,2,95.985,393154.56,48.6003073879252,7.136836,7.136836
HWMPHybridNearRoot,2048,25,2,99.505,407572.48,7.66596573845535,7.86029,7.86029
HWMPHybridFarRoot,2048,25,2,98.795,404664.32,21.662790969128,5.667731,5.667731
FLAME,2048,25,2,99.5,407552,7.67895103477387,12.122173,12.122173
HWMPProActive,2048,25,3,96.5033333333333,592916.48,75.4024343624745,2031.709708,7.136836
HWMPHybridNearRoot,2048,25,3,97.3366666666667,598036.48,39.2313593266669,18.32003,7.86029
HWMPHybridFarRoot,2048,25,3,95.8833333333334,589107.2,78.3007438384495,28.321969,5.667731
FLAME,2048,25,3,66.0066666666667,405544.96,6.01063666523584,7.406885,7.406885
HWMPProActive,2048,50,1,89.88,184074.24,20.2439057185136,109.761325,109.761325
HWMPHybridNearRoot,2048,50,1,90.16,184647.68,19.3436675178571,7.98856,7.98856
HWMPHybridFarRoot,2048,50,1,42.33,86691.84,75.5276459558233,176.906336,176.906336
FLAME,2048,50,1,33.39,68382.72,74.0134229041629,23.278647,23.278647
HWMPProActive,2048,50,2,39.265,160829.44,22.1454674805807,3037.892565,3037.892565
HWMPHybridNearRoot,2048,50,2,83.605,342446.08,75.4799524851385,1034.413527,1034.413527
HWMPHybridFarRoot,2048,50,2,74.83,306503.68,116.884200201991,43.047412,43.047412
FLAME,2048,50,2,61.45,251699.2,37.332638485598,23.278647,23.278647
HWMPProActive,2048,50,3,57.7566666666667,354856.96,45.5608900264904,130.980177,130.980177
HWMPHybridNearRoot,2048,50,3,71.9733333333333,442204.16,309.370695456604,2048.211922,125.324931
HWMPHybridFarRoot,2048,50,3,52.8933333333333,324976.64,151.088752857764,42.81036,42.81036
FLAME,2048,50,3,46.2633333333333,284241.92,99.3778814784206,24.027788,24.027788
HWMPProActive,2048,75,1,81.19,166277.12,587.226997304225,2017.207471,2017.207471
HWMPHybridNearRoot,2048,75,1,78.25,160256,573.617571382748,164.999721,164.999721
HWMPHybridFarRoot,2048,75,1,79.63,163082.24,619.000881679518,2042.853809,2042.853809
FLAME,2048,75,1,28.85,59084.8,193.246621988215,505.445633,505.445633
HWMPProActive,2048,75,2,39.51,161832.96,762.702400332448,132.371766,132.371766
HWMPHybridNearRoot,2048,75,2,36.02,147537.92,889.874686035397,57.726456,57.726456
HWMPHybridFarRoot,2048,75,2,44.14,180797.44,226.728682389669,2023.8965,2023.8965
FLAME,2048,75,2,34.885,142888.96,686.598796536047,1022.914327,1022.914327
HWMPProActive,2048,75,3,22.7633333333333,139857.92,943.242214753698,325.106368,123.192868
HWMPHybridNearRoot,2048,75,3,20.7866666666667,127713.28,990.507942696921,610.224074,205.623828
HWMPHybridFarRoot,2048,75,3,0,0,0,610.224074,0
FLAME,2048,75,3,28.29,173813.76,924.432169132438,391.472406,26.010428
HWMPProActive,2048,100,1,0,0,0,391.472406,0
HWMPHybridNearRoot,2048,100,1,0,0,0,391.472406,0
HWMPHybridFarRoot,2048,100,1,0,0,0,391.472406,0
FLAME,2048,100,1,0.01,20.48,582.142822,582.142822,582.142822
HWMPProActive,2048,100,2,0,0,0,582.142822,0
HWMPHybridNearRoot,2048,100,2,0,0,0,582.142822,0
HWMPHybridFarRoot,2048,100,2,0.05,204.8,497.5597066,552.835561,552.835561
FLAME,2048,100,2,0,0,0,552.835561,0
HWMPProActive,2048,100,3,0,0,0,552.835561,0
HWMPHybridNearRoot,2048,100,3,0,0,0,552.835561,0
HWMPHybridFarRoot,2048,100,3,0.01,61.44,664.474465333333,581.161323,581.161323
FLAME,2048,100,3,0,0,0,581.161323,0
